job_id,title,job_family,reasoning,labeling_method,review_status,stratum,stratum_size,verdict,human_family
vietnamworks:2055072,Senior Investment Executive,OTHER,"Primary duties focus on investment analysis, financial modeling, and market research rather than core data/analytics functions.",vote:cerebras+mistral,resolved,llm_2plus_votes|OTHER,880,agree,OTHER
vietnamworks:2064262,AI Automation Engineer,MLOPS,"pairwise knockout among AI_ENGINEER, MLOPS, ML_ENGINEER on the full JD",refine-knockout:cerebras+cloudflare+mistral,resolved,llm_unverified|DATA,1,agree,MLOPS
vietnamworks:2051902,Deputy Finance Manager,OTHER,"pairwise knockout among BUSINESS_ANALYST, OTHER, RISK_FRAUD_ANALYST on the full JD",refine-knockout:cerebras+cloudflare+mistral,resolved,llm_unverified|OTHER,2,agree,OTHER
vietnamworks:2067184,Chuyên Viên Phân Tích Tài Chính,OTHER,"pairwise knockout among BUSINESS_ANALYST, OTHER, RISK_FRAUD_ANALYST on the full JD",refine-knockout:cerebras+cloudflare+mistral,resolved,llm_unverified|OTHER,2,agree,OTHER
vietnamworks:2056144,Senior Power BI Developer / Data Analyst,BI,title alias 'power bi developer',rule,resolved,rule|DATA,489,agree,BI
glints:94661592-ff34-4fd3-abe6-4f28434ca9ec,Data Analyst,DATA_ANALYST,title alias 'data analyst',rule,resolved,rule|DATA,489,agree,DATA_ANALYST
vietnamworks:2067984,Chuyên Viên Phân Tích Nghiệp Vụ Và Phát Triển Sản Phẩm thuộc Phòng Phân tích - Nghiên cứu,BUSINESS_ANALYST,title alias 'phân tích nghiệp vụ',rule,resolved,rule|DATA,489,agree,BUSINESS_ANALYST
vietnamworks:2064835,Business Analyst,BUSINESS_ANALYST,title alias 'business analyst',rule,resolved,rule|DATA,489,agree,BUSINESS_ANALYST
vietnamworks:2065112,Chuyên Viên Phân Tích Nghiệp Vụ - Mã Số: Qldv-01,BUSINESS_ANALYST,title alias 'phân tích nghiệp vụ',rule,resolved,rule|DATA,489,unclear,OTHER
topcv:2123028,Data Engineer,DATA_ENGINEER,title alias 'data engineer',rule,resolved,rule|DATA,489,agree,DATA_ENGINEER
careerviet:35C79648,CHUYÊN VIÊN PHÂN TÍCH DỮ LIỆU,DATA_ANALYST,title alias 'phân tích dữ liệu',rule,resolved,rule|DATA,489,agree,DATA_ANALYST
itviec:6d7e4a83-e0f5-4f10-a283-353f3a13aa27,Business Analyst,BUSINESS_ANALYST,title alias 'business analyst',rule,resolved,rule|DATA,489,agree,BUSINESS_ANALYST
vietnamworks:2062303,Kỹ sư Dữ liệu - Data Engineer - Khối Dữ liệu,DATA_ENGINEER,title alias 'data engineer',rule,resolved,rule|DATA,489,agree,DATA_ENGINEER
