job_id,title,stored,source,a1,a2,evidence,reference
itviec:42152f14-6812-49cc-99e8-f2ec06910e41,Junior Data Modeler,Junior,rule_title,Junior,Junior,Junior Data Modeler,Junior
itviec:ba171f15-356a-469d-9569-f709a8dfd386,Software Engineer,Mid,llm,Mid,Mid,Python 3.11+ asyncio production ≥ 2 năm,Mid
careerviet:35C73174,Senior IT Architecture,Senior,rule_title,Senior,Senior,TITLE: Senior IT Architecture,Senior
itviec:4201a925-c358-4700-bbcc-5929ec194847,Senior Data Engineer/Data Platform Engineer,Senior,rule_title,Senior,Senior,TITLE: Senior Data Engineer/Data Platform Engineer,Senior
itviec:cf576ecd-a2bb-4e1c-99f3-9d49d550ef37,Data Scientist - Data Division,Mid,llm,Mid,Mid,"Tối thiểu có kinh nghiệm 02 năm phân tích dữ liệu, khoa học máy tính hoặc các vị trí tương đương làm việc với dữ liệu lớn, có kinh nghiệm xây dựng các mô hình dự đoán, học máy",Mid
itviec:e726ad5e-2695-47ac-acd4-db6bb1488236,Chuyên viên Phòng Quản trị dữ liệu – Khối CN và DL,Unknown,none,Mid,,Ưu tiên có kinh nghiệm thực tế tại tổ chức tín dụng,
itviec:c03bb9ea-d9e5-4b3a-b17a-ca3c9b1ee07e,Microsoft 365 AI Solutions Architect,Unknown,none,Senior,,Microsoft 365 AI Solutions Architect,
careerviet:35C6E865,Phó Phòng Tài chính,Manager,rule_title,Manager,,Có ít nhất 3 năm kinh nghiệm quản lý đội nhóm.,
itviec:7f0f5d2a-9d77-438a-89d6-c34d49027b6c,AI Technical Leader,Lead,rule_title,Lead,Lead,At least 5 years of experience in developing AI models,Lead
topcv:2167403,Senior Data Analyst,Lead,rule_title,Senior,Senior,TITLE: Senior Data Analyst,Senior
vietnamworks:2064257,"BA Lead , Lương 35–60M | Dự Án Lớn Tại Viettel",Manager,rule_title,Lead,Lead,"TITLE: BA Lead , Lương 35–60M | Dự Án Lớn Tại Viettel",Lead
vietnamworks:2055992,Chuyên Viên Cao Cấp Phân Tích Doanh Nghiệp,Senior,rule_title,Mid,Senior,Tối thiểu 3 năm kinh nghiệm làm việc tại vị trí tương tự,
itviec:195b97a5-e0c7-458a-84a0-60c4a6c89fa1,Senior AI Engineer,Senior,rule_title,Senior,Senior,TITLE: Senior AI Engineer,Senior
itviec:1e469c76-96ef-48d1-bfb1-edf423782233,Platform Engineer,Senior,rule_title,Senior,,"4+ years of experience, with a proven track record of architecting distributed systems, mentoring junior engineers, and driving platform-wide architectural decisions.",
vietnamworks:2052937,Junior DataOps Engineer,Junior,rule_title,Junior,Junior,TITLE: Junior DataOps Engineer,Junior
itviec:467e2a38-3ee0-4359-8edb-d3dbef3a8dd9,Business Analyst - Middle+ - Upto 2000$,Mid,rule_title,Mid,Mid,"Có tối thiểu 3 năm kinh nghiệm phân tích nghiệp vụ trở lên cho 1 trong các dự án về Tài Chính tích hợp Ngân hàng, Chuyển phát, Logistics, Kho.",Mid
itviec:b6747f11-16fc-478d-a0e4-5fe85dc81bc1,ERP/Logistics Senior Business Analyst,Senior,rule_title,Senior,Senior,ERP/Logistics Senior Business Analyst (3-5 years),Senior
careerviet:35C783C3,Senior Data Engineer,Senior,rule_title,Senior,Senior,TITLE: Senior Data Engineer,Senior
topdev:2106629,SENIOR DATA ENGINEER,Senior,rule_title,Senior,Senior,TITLE: SENIOR DATA ENGINEER,Senior
glints:de456d8d-dbed-403e-befc-d9a53be5592a,AI Engineer Intern,Intern,rule_title,Intern,Intern,TITLE: AI Engineer Intern,Intern
vietnamworks:2067784,Phó Trưởng Phòng Phân Tích Nghiệp Vụ,Manager,rule_title,Manager,,Phó Trưởng Phòng Phân Tích Nghiệp Vụ,
vietnamworks:2059019,Chuyên Viên Cao Cấp - Phòng Tài Chính - Khối Tài Chính Kế Toán,Senior,rule_title,Unknown,Senior,TITLE: Chuyên Viên Cao Cấp - Phòng Tài Chính - Khối Tài Chính Kế Toán,
itviec:247e8e0a-0e12-4e57-9d47-032c81513470,Trưởng Phòng Giải Pháp Công Nghệ,Manager,rule_title,Manager,Manager,TITLE: Trưởng Phòng Giải Pháp Công Nghệ,Manager
itviec:660cc354-bcb5-460e-a208-26dacea29fb3,Senior Data Scientist,Senior,rule_title,Senior,Senior,TITLE: Senior Data Scientist,Senior
itviec:5d8c0db2-b92a-45d4-8d56-b5f74dbcc059,Middle/ Senior AI Engineer,Senior,rule_title,Senior,Senior,TITLE: Middle/ Senior AI Engineer,Senior
vietnamworks:2065373,Trưởng Phòng Công Nghệ Thông Tin,Manager,rule_title,Manager,Manager,Tối thiểu 3 - 5 năm kinh nghiệm ở vị trí IT Manager/IT Leader.,Manager
itviec:dcb24147-4eea-4ca6-83f9-4cf04ad6aca5,Junior AI Engineer - LLM,Junior,rule_title,Junior,Junior,TITLE: Junior AI Engineer - LLM,Junior
itviec:4b48eede-f8a2-4b9d-b5b9-280ad5e30f9a,Senior/Lead Platform Engineer,Lead,rule_title,Lead,,Senior/Lead Platform Engineer,
itviec:1eadecf6-3060-4d6d-83a5-2d4c65f23b81,Data Architect,Mid,rule_years_jd,Mid,Senior,"From 2 years in data architecture, data engineering, or data platform roles.",
topcv:2193960,Data Analyst Lead - Dự Án Bộ Công Thương,Lead,rule_title,Lead,Lead,Data Analyst Lead - Dự Án Bộ Công Thương,Lead
vietnamworks:2068299,Head Of Data Architect,Manager,rule_title,Senior,Manager,"Minimum 10 years of experience in Data Architecture, Data Management, Data Governance, Analytics, Data Engineering, or related domains.",
glints:56904b52-8be1-441d-8833-05cf31c21960,Data Engineer,Mid,rule_years_jd,Mid,Mid,2-4 years of experience in data engineering or a related role.,Mid
itviec:fb81a623-507f-406a-af92-ff908244d5bd,Senior Developer,Senior,rule_title,Senior,Senior,TITLE: Senior Developer,Senior
careerviet:35C72F95,Data Engineer & Dashboard,Junior,rule_years_jd,Junior,,1+ years of hands-on experience in data engineering or similar roles,
itviec:80f7f33a-cd69-4a22-9d9b-228c7bf251d5,AI Engineer,Junior,rule_years_jd,Junior,Junior,"At least 1 year of experience in AI, Machine Learning, Data Science, or related areas.",Junior
topdev:2111414,"Executive, Operations Excellence Ecommerce",Mid,rule_years_jd,Mid,Mid,"2 – 3 years of relevant experience in eCommerce, Business Analysis, Operations Excellence, or a similar analytical role.",Mid
itviec:210e0d33-2899-4caf-814a-43289ba98985,Machine Learning/AI Engineer,Senior,rule_years_jd,Senior,Senior,"Total 5+ years of experience designing, building, and operating production — ideally in e-commerce or marketplace domains",Senior
careerviet:35C6F1F7,AI Engineer,Mid,rule_years_jd,Mid,Mid,Minimum 2 years of hands-on AI/ML experience,Mid
topcv:2182327,Trưởng Nhóm Data Analyst,Lead,rule_title,Lead,Lead,TITLE: Trưởng Nhóm Data Analyst,Lead
careerviet:35C79648,CHUYÊN VIÊN PHÂN TÍCH DỮ LIỆU,Mid,rule_years_jd,Mid,Mid,"≥ 3 năm phân tích dữ liệu, có kinh nghiệm dẫn dắt dự án dữ liệu quy mô TB-level",Mid
itviec:f377de57-345c-46d6-8e28-56ab13de3b54,AI Engineer,Junior,rule_years_jd,Junior,Junior,Tối thiểu 1 năm kinh nghiệm,Junior
itviec:8cde8116-7713-448f-a2a3-18316d9d5e89,IT Application Implementation (seasonal 1 year contract,Mid,rule_years_jd,Mid,,"3-5 years of experience in system implementation, system integration, or business/system analysis roles/ Từ 3-5 năm kinh nghiệm trong triển khai hệ thống, tích hợp hệ thống hoặc phân tích nghiệp vụ/hệ",
careerviet:35C790F3,Chuyên viên Hoạch định và Phân tích tài chính,Mid,rule_years_jd,Mid,,"Tối thiểu 3- 5 năm kinh nghiệm trong lĩnh vực hoạch định phân tích tài chính, phân tích tài chính, kế toán quản trị / Minimum 3–5 years of experience in Financial Planning & Analysis (FP&A), Financial",
careerviet:35C7A8FE,Business Intelligence Engineer,Mid,rule_years_jd,Mid,Mid,2 -3 years experiences in Data Engineer,Mid
itviec:246da202-5fcc-422b-aa4c-60d59529c3ff,Data Engineer,Junior,rule_years_jd,Mid,,We are growing the Data Engineering team across three tiers (Junior / Mid / Senior),
careerviet:35C76C56,"P. Khoa học dữ liệu, Hội sở - Chuyên viên Vận hành mô hình",Junior,rule_years_jd,Mid,Mid,"Có kinh nghiệm làm việc trong lĩnh vực Khoa học Dữ liệu, DevOps, Software Engineering, Data Engineering từ 2 năm trở lên.",Mid
vietnamworks:2065903,Strategy Data Manager,Manager,rule_title,Manager,Senior,"5–7 years in media planning, performance marketing, or e-commerce analytics; agency, platform, or e-commerce enabler background preferred.",
careerviet:35C79B77,Chuyên viên công nghệ thông tin,Mid,rule_years_jd,,,,
itviec:cf56bb51-6b20-4d18-becd-a7142f0fcd1a,AI Engineer,Junior,rule_years_jd,Junior,Junior,Kinh nghiệm: Dưới 1 năm kinh nghiệm làm việc vững chắc với Python và NodeJS / TypeScript .,Junior
itviec:63d691de-f5ce-4dec-bf12-a77bac989d16,Data Platform Operations,Mid,rule_years_jd,Mid,Mid,"Có kinh nghiệm tối thiểu 2 năm phát triển hoặc vận hành hệ thống ETL (Oracle GoldenGate, ODI, Pentaho,...);",Mid
topdev:2111430,Product Data Engineer,Mid,rule_years_jd,Mid,Mid,With minimum 3 years exp.,Mid
careerviet:35C74210,Market Intelligence Specialist,Mid,rule_years_jd,Mid,Mid,"At least 3 years of experience in marketing, of which 2 years in B2B industrial or technical marketing",Mid
careerviet:35C750D8,Data Engineer - ISC,Mid,rule_years_jd,Mid,Mid,"- Trên 3 năm kinh nghiệm làm việc với các công cụ process data: batching (Spark, Pandas) hoặc streaming (Flink, Storm, Spark-Streaming)",Mid
careerviet:35C7228C,Data Scientist,Mid,rule_years_jd,Mid,Mid,"3+ years of work experience in Data Science, Machine Learning or relevant fields.",Mid
careerviet:35C77A2C,Giảng viên Phân tích Dữ liệu Cơ bản,Mid,rule_years_jd,Mid,Mid,"Có tối thiểu 2 - 3 năm kinh nghiệm thực tế làm việc ở vị trí Data Analyst, Business Analyst, hoặc Data Engineer tại các doanh nghiệp.",Mid
itviec:f838b243-593e-4562-8dda-49ca55d88e69,AI Engineer,Mid,rule_years_jd,Senior,Senior,"Với vai trò Senior AI Engineer, bạn sẽ hợp tác chặt chẽ với các AI Researcher, Data Scientists và Kỹ sư phần mềm để nghiên cứu và phát triển các mô hình AI phù hợp với các bài toán kinh doanh thực tế ",Senior
glints:592b7722-8323-4638-a610-d3c1cfc0d4a0,Data Analyst,Mid,rule_years_jd,Mid,Mid,Có ít nhất 02 năm kinh nghiệm trong phân tích dữ liệu,Mid
itviec:c63175be-f082-4bb8-a2c7-7b50ab44309e,Business Analyst,Junior,rule_years_jd,Junior,Junior,Từ 01 năm kinh nghiệm làm BA,Junior
itviec:a79a1ff1-631e-47ed-a324-4fdfeb38158f,Business Analyst,Mid,rule_years_jd,Mid,Mid,At least 3 years of experience in Business Analyst or other related roles.,Mid
glints:789d05b4-c271-42d7-9089-32e7f7648741,AI Engineer,Junior,rule_years_source,Mid,Mid,"You will work closely with data scientists, software engineers, and business teams to build and deploy AI models that drive innovation and efficiency.",Mid
vietnamworks:2059185,Data Engineer,Mid,rule_years_jd,Mid,Mid,2+ years of hands-on experience in data engineering or a related role.,Mid
vietnamworks:2066633,Kỹ Sư Nền Tảng Dữ Liệu Lớn - Khối Công Nghệ Thông Tin,Senior,rule_years_source,Senior,Senior,Kinh nghiệm: 5-10 năm ở vị trí tương đương,Senior
vietnamworks:2065404,Data Engineer,Mid,rule_years_source,Mid,Mid,Có ít nhất 3 năm kinh nghiệm làm việc trong lĩnh vực Kỹ sư dữ liệu.,Mid
glints:3dd6ea2c-2a6b-4c70-b819-70174f727dc1,Data Analyst,Senior,rule_years_source,Mid,Mid,We are looking for a Data Analyst (DA) as a gatekeeper for an organization’s data so stakeholders can understand and use it to make strategic business decisions.,Mid
glints:53836aa5-b450-44ef-8756-7faf370cb344,AI Engineer,Junior,rule_years_source,Senior,Senior,Own at least one client’s AI system end-to-end.,Senior
topdev:2111197,Business Intelligence,Mid,rule_years_jd,Mid,Mid,"From 2 years of experience in data analytics, with hands-on experience in dashboard creation using BI tools such as Google Looker, Tableau, or Power BI.",Mid
topcv:2175073,Data Analyst,Mid,rule_years_source,Mid,Mid,3 years+ experience in work related to data analysis.,Mid
itviec:f190c56b-14c0-446b-a2b7-111a497104c5,AI Engineer,Junior,rule_years_jd,Mid,,Có từ 1 - 3 năm kinh nghiệm làm việc thực tế trong các dự án AI/Machine Learning.,
vietnamworks:2061238,Integration Engineer,Junior,rule_years_source,Junior,Junior,At least 1 year experience in BA or ERP consultant role with in-depth knowledge of at least one domain that matches the company's business focus,Junior
itviec:9b37d1a5-d393-4c65-a4c1-092fe80e43b6,AI-Augmented Software Engineer,Senior,rule_years_jd,Senior,,Hướng dẫn và mentor Junior/Middle Developer về cách sử dụng AI hiệu quả,
vietnamworks:2042739,Chuyên Viên Phân Tích Dữ Liệu Kinh Doanh,Mid,rule_years_source,Mid,Mid,Kinh nghiệm tối thiểu: Từ 03 năm kinh nghiệm (Specialist) hoặc 04 năm kinh nghiệm chuyên sâu (Senior) trong lĩnh vực phân tích dữ...,Mid
topcv:2166282,Data Analyst,Mid,rule_years_source,Unknown,Mid,TITLE: Data Analyst,
topcv:2167677,Data Analyst,Junior,rule_years_source,,,,
glints:2faadfbd-45eb-4fbd-9f43-e4109bc265e9,AI Engineer,Junior,rule_years_source,,,,
vietnamworks:2043139,Nhân Viên GSD,Junior,rule_years_source,Mid,Junior,Sử dụng phần mềm GSDCost để chuẩn hóa dữ liệu sản xuất và tính toán thời gian tiêu chuẩn trong ngành may mặc,
topcv:2011620,Game Data Analytics Engineer,Junior,rule_years_source,,,,
vietnamworks:2056352,AI Solution Architect,Senior,rule_years_source,Senior,,Experience: 5+ years,
topcv:2193468,Data Engineer,Mid,rule_years_source,,,,
vietnamworks:2059497,Production Admin,Junior,rule_years_source,,,,
vietnamworks:2062369,Gaming Analyst,Mid,rule_years_source,,,,
vietnamworks:2058848,Chuyên Viên Quản Lý Chất Lượng Dữ Liệu - Data Quality Management Specialist - Khối Dữ Liệu,Junior,rule_years_source,Junior,Unknown,Kinh nghiệm: - Có tối thiểu 1...,
topcv:2173450,Data Engineer,Senior,rule_years_source,,,,
glints:d6ea11fd-f7c5-4149-9505-3c283f460c8e,Data Analyst,Junior,rule_years_source,,,,
vietnamworks:2065575,Assistant - Production Fresh graduate or 1-2 years experiences,Junior,rule_years_source,,,,
topcv:2168178,"BI Analyst - Power Platform, Power BI Thu Nhập 12 - 15 Triệu",Mid,rule_years_source,,,,
glints:dad65f5e-1454-486f-9566-f08dad89580f,AUDIT ADMIN - ADMIN CHUYÊN XỬ LÝ DỮ,Junior,rule_years_source,,,,
vietnamworks:2058687,Chuyên Viên Phân Tích Nghiệp Vụ,Junior,rule_years_source,,,,
vietnamworks:2054961,Financial Analyst,Mid,rule_years_source,,,,
vietnamworks:2059547,AI Platform Engineer,Mid,rule_years_source,Mid,Mid,Minimum 2 years of experience as an AI/Software Engineer with hands-on deployment of LLM or AI agent solutions into engineering or technical workflows.,Mid
topcv:2184635,Data Engineer - Hà Nội - TA105,Mid,rule_years_source,Mid,,"Tối thiểu 3 - 4 năm trong lĩnh vực quản lý dữ liệu/báo cáo/phân tích/học máy trong ngành tài chính ngân hàng, bảo hiểm, chứng khoán",
vietnamworks:2056753,AI & Analytics PMO,Mid,rule_years_source,Mid,,"3–5 years of professional experience, including 1–3 years involved in AI/ML-related projects or digital transformation initiatives.",
topcv:2187604,Data Engineer Thu Nhập Hấp Dẫn Up To 50m,Mid,rule_years_source,Mid,Mid,Từ 3 năm kinh nghiệm với vai trò Data Engineer hoặc vai trò khác tương đương.,Mid
vietnamworks:2038765,Chuyên Viên Quản Lý Hiệu Quả Kinh Doanh,Mid,rule_years_source,Mid,Mid,"Có kinh nghiệm từ 02 năm trở lên trong lĩnh vực phân tích dữ liệu, đánh giá hiệu quả kinh doanh....",Mid
